ignore,opentime,openprice,tradeCount,ActiveTurnover,low,endPrice,activeBVolume,high,tradeVolume,volume,endtime,symbol
1704938400000,46506.93000000,46621.20000000,46500.00000000,46596.14000000,380.34147000,1704939299999,17700347.31390320,13537,169.60475000,7894378.30599360,0,BTCUSDT
1704939300000,46596.15000000,46622.39000000,46521.44000000,46550.00000000,331.59739000,1704940199999,15442934.01116670,13602,173.36367000,8073714.13199650,0,BTCUSDT
1704940200000,46550.01000000,46619.09000000,46511.94000000,46539.95000000,286.81385000,1704941099999,13353793.05270960,17494,162.23258000,7553826.37994110,0,BTCUSDT
1704941100000,46539.96000000,46600.00000000,46532.50000000,46559.00000000,244.01657000,1704941999999,11363865.89629130,12606,107.55278000,5008988.35742900,0,BTCUSDT
1704942000000,46559.00000000,46590.81000000,46200.00000000,46424.31000000,887.27452000,1704942899999,41217800.27560640,31459,405.48278000,18829439.38755360,0,BTCUSDT
1704942900000,46424.32000000,46509.06000000,46212.20000000,46441.00000000,545.65145000,1704943799999,25301743.61488950,26144,228.70255000,10606984.04557480,0,BTCUSDT
1704943800000,46441.00000000,46567.67000000,46438.98000000,46442.10000000,287.41240000,1704944699999,13365403.16768360,16027,154.14945000,7168773.81485720,0,BTCUSDT
1704944700000,46442.09000000,46509.53000000,46389.98000000,46502.16000000,369.81469000,1704945599999,17177316.20634700,17643,195.17936000,9066242.62494060,0,BTCUSDT
1704945600000,46502.17000000,46507.08000000,46304.96000000,46407.88000000,642.80105000,1704946499999,29820407.79600490,24290,281.34478000,13050816.54695450,0,BTCUSDT
1704946500000,46407.87000000,46490.01000000,46403.36000000,46486.82000000,321.03038000,1704947399999,14911712.36258960,15017,156.97260000,7291231.03509620,0,BTCUSDT
1704947400000,46486.82000000,46500.00000000,46406.00000000,46439.13000000,348.00810000,1704948299999,16166901.50492220,14847,163.15906000,7579881.58361050,0,BTCUSDT
1704948300000,46439.13000000,46482.00000000,46400.00000000,46400.01000000,354.22158000,1704949199999,16446921.96057030,14454,118.85261000,5518347.81384670,0,BTCUSDT
1704949200000,46400.01000000,46417.33000000,46228.00000000,46280.12000000,468.52798000,1704950099999,21706196.84126450,18239,144.34044000,6685785.61710710,0,BTCUSDT
1704950100000,46280.11000000,46341.00000000,46261.10000000,46319.01000000,280.83685000,1704950999999,13003216.45401940,12606,141.80129000,6565617.47778260,0,BTCUSDT
1704951000000,46319.00000000,46323.06000000,46000.00000000,46026.46000000,686.66614000,1704951899999,31689527.74518190,29978,233.47504000,10778419.70480570,0,BTCUSDT
1704951900000,46026.46000000,46133.16000000,45896.23000000,46070.00000000,696.20551000,1704952799999,32052945.19201160,28610,381.06526000,17543473.33532310,0,BTCUSDT
1704952800000,46070.00000000,46091.53000000,45625.00000000,45715.99000000,800.23142000,1704953699999,36682576.54963250,39050,338.18157000,15502050.51003440,0,BTCUSDT
1704953700000,45715.99000000,45799.12000000,45618.10000000,45764.30000000,494.39690000,1704954599999,22621885.34897750,22071,226.29465000,10353626.95341640,0,BTCUSDT
1704954600000,45764.31000000,45923.03000000,45724.48000000,45917.09000000,606.08277000,1704955499999,27782003.50499760,30512,350.69509000,16074138.12749190,0,BTCUSDT
1704955500000,45917.10000000,45954.69000000,45857.67000000,45907.30000000,334.16422000,1704956399999,15341427.24879040,15751,176.39536000,8098209.29225160,0,BTCUSDT
1704956400000,45907.29000000,46121.00000000,45881.10000000,46100.99000000,499.48108000,1704957299999,22977326.05391130,22025,299.91404000,13796089.07091600,0,BTCUSDT
1704957300000,46100.99000000,46166.99000000,46028.92000000,46140.82000000,482.86662000,1704958199999,22265186.98089710,22153,244.68027000,11283019.55917090,0,BTCUSDT
1704958200000,46140.81000000,46140.82000000,45960.64000000,46013.52000000,311.53753000,1704959099999,14343452.44560420,17509,149.46790000,6881360.37864550,0,BTCUSDT
1704959100000,46013.52000000,46101.41000000,46013.52000000,46101.40000000,224.81522000,1704959999999,10356146.28284090,11071,110.48180000,5089254.26730020,0,BTCUSDT
1704960000000,46101.40000000,46196.00000000,46052.00000000,46194.56000000,340.10210000,1704960899999,15683770.16255430,14248,209.44744000,9660118.19982970,0,BTCUSDT
1704960900000,46194.56000000,46296.04000000,46153.41000000,46296.04000000,364.12775000,1704961799999,16834456.48832180,16582,186.89702000,8640516.43871630,0,BTCUSDT
1704961800000,46296.03000000,46303.51000000,46166.00000000,46187.99000000,383.96373000,1704962699999,17755168.50886060,16680,221.54443000,10244871.12790460,0,BTCUSDT
1704962700000,46187.99000000,46318.10000000,46187.99000000,46277.00000000,380.38893000,1704963599999,17599557.08668870,18431,226.68460000,10486641.38843730,0,BTCUSDT
1704963600000,46277.00000000,46354.00000000,46218.66000000,46276.35000000,410.55634000,1704964499999,19001355.18473660,20680,239.58393000,11087460.40883280,0,BTCUSDT
1704964500000,46276.36000000,46329.13000000,46219.87000000,46301.46000000,228.38923000,1704965399999,10571159.72812620,12203,118.50883000,5485057.43884790,0,BTCUSDT
1704965400000,46301.46000000,46317.01000000,46222.71000000,46290.51000000,417.56673000,1704966299999,19322558.96257760,13550,206.41321000,9550909.64559170,0,BTCUSDT
1704966300000,46290.51000000,46318.00000000,46211.94000000,46220.12000000,284.62329000,1704967199999,13165965.59764510,12829,150.96502000,6982921.28090780,0,BTCUSDT
1704967200000,46220.12000000,46300.00000000,46210.00000000,46243.40000000,324.69859000,1704968099999,15016060.85634430,12837,165.17331000,7638337.81111210,0,BTCUSDT
1704968100000,46243.40000000,46550.00000000,46243.40000000,46550.00000000,650.49982000,1704968999999,30207371.34896430,27857,406.77116000,18887764.09138790,0,BTCUSDT
1704969000000,46549.99000000,46744.00000000,46471.62000000,46732.01000000,838.15863000,1704969899999,39057472.37722250,39490,521.10320000,24284689.40690820,0,BTCUSDT
1704969900000,46732.00000000,46860.00000000,46684.00000000,46859.91000000,745.89651000,1704970799999,34899388.90820930,32194,404.26919000,18914943.91418260,0,BTCUSDT
1704970800000,46859.90000000,46992.94000000,46705.97000000,46984.05000000,743.08873000,1704971699999,34810930.26641010,30841,449.35067000,21053046.04936520,0,BTCUSDT
1704971700000,46984.04000000,47150.00000000,46885.99000000,47073.20000000,1067.81487000,1704972599999,50223792.19137470,45232,561.63001000,26418475.96472940,0,BTCUSDT
1704972600000,47073.20000000,47089.30000000,46840.00000000,46979.99000000,882.56569000,1704973499999,41422272.56914810,30718,460.41657000,21608856.26312290,0,BTCUSDT
1704973500000,46980.00000000,47089.80000000,46925.09000000,47060.00000000,476.04460000,1704974399999,22381365.02897710,21948,249.29040000,11721711.33071060,0,BTCUSDT
1704974400000,47059.99000000,47176.84000000,46966.86000000,47016.52000000,656.69665000,1704975299999,30927988.10917030,25290,341.17770000,16070209.07963990,0,BTCUSDT
1704975300000,47016.52000000,47152.00000000,46941.10000000,47146.99000000,594.08821000,1704976199999,27961057.55993270,21097,338.84262000,15948677.36072260,0,BTCUSDT
1704976200000,47146.99000000,47333.41000000,47012.57000000,47287.43000000,989.51650000,1704977099999,46733611.03807030,40965,548.59283000,25912931.23634380,0,BTCUSDT
1704977100000,47287.43000000,47464.87000000,47201.10000000,47449.63000000,937.16512000,1704977999999,44374592.82145760,31010,543.51360000,25736847.34489070,0,BTCUSDT
1704978000000,47449.64000000,47449.64000000,47158.10000000,47171.76000000,960.11643000,1704978899999,45391526.50614810,32287,452.90369000,21412890.33601480,0,BTCUSDT
1704978900000,47171.77000000,47350.00000000,47088.00000000,47140.00000000,791.41447000,1704979799999,37404193.47701870,26446,389.99274000,18432498.58912450,0,BTCUSDT
1704979800000,47139.99000000,47201.32000000,46762.86000000,47038.12000000,1875.94549000,1704980699999,88223275.83625490,71930,878.45319000,41311709.75652180,0,BTCUSDT
1704980700000,47038.12000000,47325.99000000,47037.21000000,47325.20000000,777.22658000,1704981599999,36721829.01823830,30302,436.74608000,20631465.27972840,0,BTCUSDT
1704981600000,47325.21000000,47800.00000000,47215.00000000,47794.59000000,2418.20263000,1704982499999,115145522.48927680,71562,1502.12246000,71519910.59780790,0,BTCUSDT
1704982500000,47794.60000000,47880.00000000,47485.79000000,47878.74000000,2093.19609000,1704983399999,99901661.12162180,55618,1069.88721000,51072478.36990570,0,BTCUSDT
1704983400000,47878.73000000,48550.00000000,47500.01000000,48524.10000000,6257.10327000,1704984299999,300940037.17313030,136308,4011.28501000,192998300.86813930,0,BTCUSDT
1704984300000,48524.09000000,48969.48000000,48211.45000000,48571.22000000,5100.43025000,1704985199999,248402828.10550780,135905,2694.88535000,131265257.57044390,0,BTCUSDT
1704985200000,48571.21000000,48657.98000000,47810.00000000,48038.63000000,3825.31158000,1704986099999,184130692.18030950,105303,1704.50978000,82049491.63103030,0,BTCUSDT
1704986100000,48038.63000000,48043.39000000,47500.00000000,47796.14000000,2705.46366000,1704986999999,129199793.10819970,73946,1240.39123000,59239874.81355700,0,BTCUSDT
1704987000000,47796.15000000,47854.05000000,46885.00000000,47218.69000000,2753.20692000,1704987899999,130361169.10558990,83211,1292.64106000,61224646.90764600,0,BTCUSDT
1704987900000,47218.69000000,47232.00000000,46463.19000000,46783.78000000,3583.72149000,1704988799999,167609052.16939180,89206,1696.79491000,79358532.85055060,0,BTCUSDT
1704988800000,46783.77000000,47022.07000000,46020.00000000,46088.00000000,3213.43240000,1704989699999,149276964.10413240,88155,1453.30122000,67543457.96638480,0,BTCUSDT
1704989700000,46087.99000000,46328.60000000,45788.00000000,46048.39000000,3236.21037000,1704990599999,149107167.19915110,83950,1447.54014000,66718916.53755440,0,BTCUSDT
1704990600000,46048.39000000,46438.76000000,45837.59000000,46209.69000000,1939.41930000,1704991499999,89597975.96186740,67872,1025.72136000,47380466.39906260,0,BTCUSDT
1704991500000,46209.70000000,46340.00000000,45914.32000000,46007.29000000,1529.35886000,1704992399999,70506880.27852840,44977,724.96505000,33422656.20361770,0,BTCUSDT
1704992400000,46007.29000000,46293.80000000,45934.75000000,46240.63000000,1182.53709000,1704993299999,54573116.62625330,38628,626.86419000,28928306.01597130,0,BTCUSDT
1704993300000,46240.63000000,46268.00000000,45606.06000000,45824.00000000,1704.06572000,1704994199999,78278587.62151940,49918,708.40201000,32549918.14252010,0,BTCUSDT
1704994200000,45823.99000000,46225.04000000,45774.00000000,46183.30000000,1008.34343000,1704995099999,46388975.98219500,36698,536.74485000,24697396.35482900,0,BTCUSDT
1704995100000,46183.29000000,46550.00000000,46182.00000000,46497.14000000,1037.90892000,1704995999999,48090626.30817280,33100,563.95035000,26132110.41425850,0,BTCUSDT
1704996000000,46497.14000000,46514.00000000,46293.90000000,46298.02000000,690.97170000,1704996899999,32060499.18347910,24960,325.79053000,15116742.42199510,0,BTCUSDT
1704996900000,46298.01000000,46472.40000000,46259.09000000,46452.17000000,421.56004000,1704997799999,19550538.79604840,20522,223.95811000,10385983.67743900,0,BTCUSDT
1704997800000,46452.17000000,46644.72000000,46444.11000000,46553.27000000,638.57023000,1704998699999,29733057.45520040,25247,298.81082000,13912109.06281290,0,BTCUSDT
1704998700000,46553.26000000,46631.09000000,46401.10000000,46609.99000000,675.73211000,1704999599999,31437398.06221660,24420,319.80540000,14879719.65293690,0,BTCUSDT
1704999600000,46610.00000000,46610.00000000,46428.00000000,46438.27000000,528.67426000,1705000499999,24581742.93133250,21401,213.93911000,9946793.63838450,0,BTCUSDT
1705000500000,46438.27000000,46552.18000000,46283.14000000,46534.02000000,538.54843000,1705001399999,24988341.59879190,22104,217.92116000,10109813.12884360,0,BTCUSDT
1705001400000,46534.02000000,46632.02000000,46483.24000000,46612.98000000,375.01816000,1705002299999,17463191.10527610,17195,148.67113000,6922133.05319640,0,BTCUSDT
1705002300000,46612.98000000,46735.29000000,46580.00000000,46692.30000000,451.91488000,1705003199999,21091126.72726480,19364,201.68417000,9412077.38711900,0,BTCUSDT
1705003200000,46692.29000000,46975.00000000,46692.29000000,46953.32000000,1178.82397000,1705004099999,55238506.51769200,34053,588.86801000,27594903.89943060,0,BTCUSDT
1705004100000,46953.31000000,46953.33000000,46753.05000000,46784.29000000,921.43284000,1705004999999,43183161.45265440,29824,394.87581000,18505436.47576680,0,BTCUSDT
1705005000000,46784.29000000,46800.15000000,46261.30000000,46382.14000000,1279.56880000,1705005899999,59491102.80823500,50571,524.73503000,24393987.70373700,0,BTCUSDT
1705005900000,46382.14000000,46613.67000000,46120.00000000,46241.92000000,1141.20538000,1705006799999,52873018.85146500,46571,501.47680000,23238363.42793730,0,BTCUSDT
1705006800000,46241.91000000,46401.73000000,46178.77000000,46297.36000000,505.36889000,1705007699999,23400632.60549410,26222,233.26937000,10802025.40932130,0,BTCUSDT
1705007700000,46297.35000000,46408.00000000,46271.10000000,46372.32000000,319.39049000,1705008599999,14808697.36297210,16844,144.27576000,6689585.76272240,0,BTCUSDT
1705008600000,46372.32000000,46450.00000000,46232.21000000,46232.22000000,314.55336000,1705009499999,14584355.91020510,17709,114.41219000,5304524.93115400,0,BTCUSDT
1705009500000,46232.22000000,46291.10000000,46120.03000000,46156.01000000,368.38653000,1705010399999,17016196.91111510,18860,160.16281000,7397847.57680210,0,BTCUSDT
1705010400000,46156.00000000,46339.68000000,46084.69000000,46298.49000000,370.46333000,1705011299999,17136377.09278480,17897,176.50259000,8165033.59498820,0,BTCUSDT
1705011300000,46298.50000000,46374.45000000,46171.10000000,46196.51000000,237.03251000,1705012199999,10971841.66939950,13214,90.65191000,4195711.66864600,0,BTCUSDT
1705012200000,46196.51000000,46328.00000000,46188.58000000,46225.61000000,216.87244000,1705013099999,10029824.92072590,11829,104.35732000,4826442.19560670,0,BTCUSDT
1705013100000,46225.61000000,46430.21000000,46221.98000000,46399.99000000,143.94900000,1705013999999,6670198.53431860,10201,73.26800000,3394880.58369390,0,BTCUSDT
1705014000000,46399.99000000,46476.87000000,46363.95000000,46476.87000000,201.43596000,1705014899999,9350193.34724140,11613,97.41057000,4521697.30913950,0,BTCUSDT
1705014900000,46476.86000000,46491.93000000,46296.37000000,46321.79000000,234.49632000,1705015799999,10880585.44838910,11289,91.86724000,4262331.66705120,0,BTCUSDT
1705015800000,46321.80000000,46430.55000000,46312.00000000,46350.58000000,209.06816000,1705016699999,9693009.93530240,9881,94.61767000,4386198.68674940,0,BTCUSDT
1705016700000,46350.57000000,46433.84000000,46306.42000000,46339.16000000,281.93649000,1705017599999,13075093.09262620,12003,136.61415000,6334906.59591390,0,BTCUSDT
1705017600000,46339.16000000,46400.00000000,46254.23000000,46262.56000000,367.42921000,1705018499999,17023723.12394740,20143,183.87363000,8518519.16439900,0,BTCUSDT
1705018500000,46262.56000000,46300.00000000,46153.28000000,46270.01000000,326.26530000,1705019399999,15082039.79926090,15380,147.42168000,6814334.13929000,0,BTCUSDT
1705019400000,46270.00000000,46488.50000000,46012.80000000,46426.22000000,762.18959000,1705020299999,35290001.38586810,31712,413.67493000,19154433.36756750,0,BTCUSDT
1705020300000,46426.22000000,46515.53000000,46288.25000000,46293.43000000,317.50328000,1705021199999,14734206.34452100,14623,147.70118000,6855485.68615780,0,BTCUSDT
1705021200000,46293.42000000,46327.81000000,46100.00000000,46127.82000000,332.36669000,1705022099999,15358072.86559770,18203,122.45140000,5658805.11111320,0,BTCUSDT
1705022100000,46127.82000000,46175.18000000,45898.00000000,45949.99000000,559.27649000,1705022999999,25724829.95098030,24770,226.27700000,10405622.14626280,0,BTCUSDT
1705023000000,45950.00000000,46200.00000000,45949.99000000,46181.10000000,256.63241000,1705023899999,11827780.32561850,16208,130.73994000,6025726.19953120,0,BTCUSDT
1705023900000,46181.11000000,46233.36000000,46113.63000000,46135.48000000,252.63489000,1705024799999,11669066.55507160,11625,118.28638000,5464123.29620360,0,BTCUSDT
1705024800000,46135.48000000,46239.00000000,46135.48000000,46238.99000000,198.27157000,1705025699999,9159442.98619860,11051,118.80483000,5488295.71289110,0,BTCUSDT
1705025700000,46239.00000000,46241.10000000,46039.33000000,46055.99000000,293.44329000,1705026599999,13534866.23190780,13744,129.20757000,5958937.43682650,0,BTCUSDT
1705026600000,46056.00000000,46244.99000000,45996.01000000,46241.00000000,278.99865000,1705027499999,12864820.90704950,13364,160.38717000,7398031.01349910,0,BTCUSDT
1705027500000,46240.99000000,46250.00000000,46110.25000000,46144.01000000,228.12984000,1705028399999,10537291.09712330,11208,102.37694000,4728684.54179420,0,BTCUSDT
1705028400000,46144.01000000,46144.01000000,46020.50000000,46124.70000000,271.39905000,1705029299999,12504360.07864540,12435,119.04465000,5484946.62562800,0,BTCUSDT
1705029300000,46124.70000000,46130.00000000,45922.01000000,46025.50000000,476.29768000,1705030199999,21911788.06757530,17097,206.86633000,9516856.80696000,0,BTCUSDT
1705030200000,46025.49000000,46100.00000000,45976.00000000,46083.69000000,194.20166000,1705031099999,8943541.95334280,10611,96.94752000,4464750.65123250,0,BTCUSDT
1705031100000,46083.69000000,46184.57000000,45994.00000000,45994.00000000,262.40041000,1705031999999,12102640.89180450,12490,137.95738000,6364130.91839950,0,BTCUSDT
1705032000000,45994.01000000,46064.00000000,45934.26000000,46001.10000000,307.11086000,1705032899999,14123967.84998460,14546,159.57945000,7338973.03184960,0,BTCUSDT
1705032900000,46001.09000000,46087.44000000,45968.00000000,46079.37000000,214.50390000,1705033799999,9872755.72979440,10606,110.62900000,5091576.10091780,0,BTCUSDT
1705033800000,46079.38000000,46110.00000000,45972.42000000,45972.43000000,263.61708000,1705034699999,12136581.32208860,11716,118.65097000,5463352.82729670,0,BTCUSDT
1705034700000,45972.43000000,45999.99000000,45858.00000000,45956.34000000,592.59880000,1705035599999,27217108.47829910,21650,270.32890000,12416471.48327190,0,BTCUSDT
